model,rel_l2,pde_residual_mse,boundary_initial_mse,train_time_sec
baseline,0.48169918625384095,0.0021594050959794584,0.0051644369794381344,2.9772887229919434
tsk,0.9890383511203574,3.627776394581154e-10,2.6174998296869534e-05,4.237747669219971
